text,category
 Import| logistics manager| Export Management| Logistics Management| Logistics,Logistics Manager
 replication| sql queries| performance tuning| triggers| stored procedures| database design| t - sql| ssrs| sql programmer| Crystal Report| ssis,Database Architect/Designer
 night shift| bpo| non voice process| international bpo| customer service| ites| Back office| interpersonal skills| web chat| kpo| customer support| e - commerce| voice process| bpo fresher| customer service representative| international call center,Associate/Senior Associate -(NonTechnical)
 English| Email| Excel| Technical specifications| Technical| Packaging| Documentation Executive| Calculation| Business Executive| Technical documentation,Documentation/Shipping-Executive/Manager
 Equity| Currency| Forex Trading| Commodity Trading| equity trading| Forex Dealer| Treasury,Forex Dealer
 GIT| Docker| Openstack| Windows| Devops| Virtualization| Release Management,Software Developer
Javascript| Python| CSS3| Basic| SIDE| Front end| Architecture| html5| web| Django,Software Developer
 Sales Management| Presales| Sales Operations| Post Sales| New Business| Business Intelligence,Sales/Business Development Manager
 International Sales| Cold Calling| Inside Sales| Sales Executive Activities,Sales Executive/Officer
 Logistics Operations| Logistics Management| Export Import| Warehouse Operations| Logistics,Logistics Manager
 Python| Front end| Backend| Web application| Web services| Manager Technology| Finance| Executive| SIDE,Software Developer
 PMP| Metrics| Project Management| Project Operations| Scrum Master| QMS| Agile| CMMI| CSM| ITIL,Project Manager-IT/Software
inter| vat| excise| accounts| tally erp 9| taxation,Accounts Executive/Accountant
 Cost reduction| Budgeting| Management| Cost,Project Manager-IT/Software
 visualforce| SFDC| SFDC Developer| Architecture| implementation| triggers| Apex| customisation,Software Developer
 Training| Sales strategy| Sales| Sales Representative| Compliance| Banking| Sales Executive| Management| Budgeting| Monitoring,Sales/Business Development Manager
 MIS| Forecasting| Excel| Presentation Skills| coordinating skills,Data Analyst
 IT Recruitment| Smart Worker,Recruitment Executive
 IT services| Consulting| CRM| Career development| SAN| Due diligence| Analytical| Social media| Outsourcing| Technical support,Technical Architect
 system administration| active directory| configuration| dns| troubleshooting| windows server| ids| provisioning| network administration| mcse,System Administrator
 Customer Care Executive| Database| HR| Process management,Associate/Senior Associate -(NonTechnical)
 Relationship management| Root cause analysis| Service level| Process optimization| Tracking| Monitor| Analytical| Continuous improvement| Operations| Analytics,Assistant Manager/Manager-(Technical)
 marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive| sales,Sales/Business Development Manager
Sales| Sales Planning| Government Sales| Corporate Sales| B2B Sales,Sales Executive/Officer
 Hybris,Software Developer
 Project management| Agile| CMMI| Mentor| Metrics analysis| Quality system implementation| Process implementation| Auditing,Quality Assurance/Quality Control Manager
 Backend| jQuery| MySQL| Javascript| Database| PHP| Ajax,Software Developer
Outsourcing|Operations|Agile|Functional testing|Test planning|Testing|Manual|development testing|Scripting|High level design,Testing Engineer
Sketchup| Design| Visualiser| 3D| Architecture| AutoCAD| Rendering| VRAY,Outside Consultant
 Service tax| Business consulting| Excise| Contract staffing| Appeals| Indirect taxation| Advisory| Monitoring| VAT Audit,HR Executive
 Service delivery| Consulting| Machine learning| Computer application| Business management| Data analytics| Strategic leadership| Stakeholder management| Statistics| Analytics,Head/VP/GM-Technology(IT)/CTO
 IT services| ERP| Excel| Financial analysis| Process improvement| Analytical| Customer service| Operations| Technical support| Balance Sheet,Financial Analyst
 hindi| english| voice process| BPO| Domestic BPO| Gujarati| Marathi| Voice Support| Customer Support,Associate/Senior Associate -(NonTechnical)
 Associate Director| Pharma| Hospitality| ITES| Risk management| Financial analysis| Financial services| Management Associate| financial due diligence| Transaction services,Associate/Senior Associate -(Technical)
 vat return| logistics management| iso| purchase planning| material planning| commercial executive| sales tax return| bcom| bsc| material management| supply chain management| audit| purchase executive,Purchase Executive
 Financial Sector| Customer Relationship| Financial Services| Banker| Accounting| Finance| Relationship Management| Banking,Accounts Executive/Accountant
Outbound sales| B2B Sales| Sales Associate| Customer service| Business Executive,Associate/Senior Associate -(NonTechnical)
documentation| php| mysql| com| btech| html5| facebook| linkedin| javascript| computer science| application| developer| social media| programming,Software Developer
 Marketing| Product Management| Category Management,Product/Brand Manager
 MVC| Javascript| .Net| Hiring| Interviewing| Talent Acquisition| MVC Architecture| ASP.Net MVC| Angularjs| c#| .NET Framework| Software Developer| software engineer| Windows Forms,Software Developer
 Java| Data Structure| Algorithm| MySQL| SQL| NoSQL| Redis,Software Developer
 qs| billing| Contractor Billing,Corporate Planning/Strategy Manager
 Core Java| Views| Web technologies| UI| Support| XML| Service| Map| SQL| Android,Sales Executive/Officer
 cloud| virtualization| saas| paas| cloud computing,Webmaster
Unix shell scripting| Business process| Outsourcing| splunk| Operations| J2Ee| Administration| Cloud,Software Developer
 Fabrication| Machinery| Automobile| Inventory,Store Keeper/Warehouse Assistant
 SAT| Access Control| Bosch,Project Manager-Telecom
 bpo| international voice process| captive unit| International Call Center| international bpo| voice process| inbound| customer care| customer service| customer service executive| cse| csr| amex| hcl| wipro| accenture| capgemini| wns| ibm| dell,Associate/Senior Associate -(NonTechnical)
 cutting tools| lathe| solid works| production| machining process| cnc machines| preventive maintenance| cnc milling| master cam,Product Development Executive
 C#| TFS| SQL Server| Visual Studio| asp . net| ASP.Net MVC| SQL| ADO.Net| XML| Asp Net| .Net| ASP.Net| WCF| Web Services,Software Developer
 Business development management| Assistant Director,Sales Promotion Manager
 Computer science| User research| UI| User interface designing| Business Analyst| Interaction design| Mathematics| Usability testing| Visual Design| Testing,System Analyst
 Web services| XML| SDLC| Code review| Performance tuning| cmod| Bapi| WebDynPro| Software development life cycle| ALE,Software Developer
Hibernate| development| technical| Web development| HTML| quality| spring| Core Java| java| UML| web| design| Javascript| j2ee| JPA| Agile methodology| MVC| agile| EJB| support| soap| applications,Software Developer
 Project management| Computer science| Analytical| Artificial Intelligence| Product planning| Drilling| Software product management| SOA| Technical architecture| Application software,Product Manager
 call center| customer care| inbound| calling| domestic| executive| customer service| customer support| bpo| kpo| cce| voice process| domestic voice process| fresher,Telecalling/Telemarketing Executive
 NLP| Artificial Intelligence| Solution Design| Machine Learning| Solution Architect| Deep Learning| CTO,Solution Architect / Enterprise Architect
Statutory Audit| Audit| Assurance| GAAP| Big4| CA,Audit Manager
 Supply chain management| Team management| User interface designing| Project management| mobile architecture| Architectural design| Android SDK| Open source| Android,Team Lead/Technical Lead
 Graphics| Digital painting| Image Editor,Graphic Designer
 Cold calling| Account management| Sales process| CVS| IT sales| IT Sales Executive| Hardware networking| Technical support| IT hardware| Management,Sales/Business Development Manager
 Javascript| User Experience| Front End| Usability| MVC Framework| AngularJS| Git| MongoDB| Product Development| Design| Solutions| mean stack,Software Developer
Fabrication| 3D| AutoCAD| Sheet metal| Mechanical| Plant layout,Design Engineer
 Hibernate| Spring| Core Java| Rest| Elastic Search,Team Lead/Technical Lead
 Performance tuning| Testing tools| Agile| HTTP| Test cases| Risk management| MS Office| JIRA| Ajax| Salesforce,Testing Engineer
 Administration| HR Administrator| Education| Software| Management| Software services| Monitoring| Administrator Work| Recruitment| admin executive,Executive/ Sr Executive - Administration
 Sales| Business Development| Payment Collection| Bidding| Revenue Collection| Customer Focus| Technical Support,Sales Executive/Officer
 stock inventory| purchase| receiving| issue| store keeping| stores| store| fifo| food| supervisor| beverage| hotel| restaurant| hospitality| multiplex,Store Keeper/Warehouse Assistant
 RTOS| Process automation| UML| OOAD| Firmware development| Electronics| Instrumentation| Scrum| New product development| Electricals,Software Developer
 Javascript| Photoshop| XHTML| Application development| Illustrator| Web technologies| Service quality| Business Executive| E-commerce| Management,Graphic/Web Designer
 Project Management| Construction Management| Program Management| Residential| Architecture| Building Construction| Interior Designing| Quality Standards| Customer Satisfaction| Interpersonal Communication,Project Manager-IT/Software
 Application Development| ASP.Net| .Net,Software Developer
 sales management| competitor analysis| relationship management| negotiation skills| it sales| cross selling| new business development| sales support,Sales/Business Development Manager
 Tally| SAN| TDS| Payroll| Excise| French| VAT| Territory Executive| Management| MS Office,Audit Manager
 Product management| Computer science| SOA| Project management| Analytical| Software product development| Scrum| Business strategy| SDLC,Product Manager
 Sales| Store Management,Retail Store Manager
 molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Trainee
 Cloud computing| Front end| Database design| MySQL| Javascript| PHP| Data structures| HTML| Apache| Android,Software Developer
 software architecture| C++| Coding| Analytical| Architectural design| Agile| Siemens| Scrum| Engineering Design,Software Developer
 Professor| Tutor| Civil| Teachers| Education| Trainer| Lecturer| Teaching,Lecturer/Professor
 Payment Collection| Accounting| Key Account Management| Inside Sales| Client Engagement| New Business| Marketing,Client Servicing/Key Account Manager
 Mechanical,Product Development Executive
 Oracle| Javascript| Struts| Hibernate| jQuery| Web application development| Spring mvc| Analytical skills| Agile development| Web services,Software Developer
 Telecom| Project management| Data processing| Windows| Analytical| consumer goods| Genetics| Consumer insights| Telecom project management,Outside Consultant
 Teaching| Educator| Counselor| Mentor| Trainer| Advisor,Teacher/ Private Tutor
 Unix| Core Java| HBase| sqoop| YARN| Hadoop| hive| big data| hdfs,Software Developer
 Architecture| Networking| Information security| Vice President| Incident management| Antivirus| Troubleshooting| Operations| Monitoring,Head/VP/GM-Technology(IT)/CTO
 git| front end| problem solving| css| developing| ajax| tracking| open source| computer science| ui| web| xml| design| debugging| mvc| interfaces| development| mobile| javascript| application| infrastructure| troubleshooting| agile,Software Developer
 Information Security| Splunk,Software Developer
 us recruitment| us recruiter| Recruiter| recruitment| staffing| talent acquisition,Recruitment Manager
 recruitment| international bpo| interviewing| bpo hiring| it sourcing| communication skills| non it| Sourcing Specialist| Sourcing| Mass Hiring| Staffing| HR Recruiter| Recruitment Executive,Recruitment Executive
primary research|business research|Competitive Benchmarking|secondary research|market intelligence|Competitive Intelligence|research analysis|market research|qualitative research|education research|Company Profiling|Go - to - market Strategy,Research Associate
 Shipping line| Export documentation| Documentation Executive| Business Executive,Documentation/Shipping-Executive/Manager
MVC|C#|Angular5|Docker|Angular|Angula6,Software Developer
 diabetology| Pharma| Pharmacology| Cardiology| Managing Director| Medico marketing| Business Executive,Marketing Manager
 business development| textile| technical service| experience| technical sales| fit| sales strategy| technical marketing| marketing sales| skills,Sales Executive/Officer
spring|Java|Project Management|Technical Project Lead|Requirement Gathering|struts|j2ee|Technical Project Leader|hibernate|jsf|Customer Handling|Project Leader,Project Lead
 website| liaising| computer literate| entry level| business development| ideas| integrated marketing| publishing,Sales Executive/Officer
 Automobile sales| Marketing Agent| Automobile,Sales/Business Development Manager
 Development Manager| Automation| Python| Unix| Linux| Perl| Troubleshooting| Firewall| HTTP| Debugging,Testing Engineer
illustrator| adobe after effects| adobe premiere| animation| design| 2d animation| adobe illustrator| premier| adobe premiere pro,Animation Designer
 Jenkins| GIT| Docker,Project Manager-IT/Software
 Linux| Continuous Delivery| Continuous Integration| System Administration| DynaTrace| AWS| Release Management| SQL,Technical Architect
 Credit Officers| Capital Advisors| Risk Management| Administration| Analysts| Data Entry| Report Generation| Mortgage Advisors| analytical skills| Policies| procedures,Accounts Executive/Accountant
Database Administration| Data Migration| Oracle Database| L1| Unix Shell Scripting| PLSQL| SQL Server| PL| Performance Tuning| Production Support,System Analyst
 Distribution Management| channel management| Sales,Head/VP/GM/National Manager -Sales
 Incident management| Operations| data governance| Data warehousing| Architect,Technical Architect
 bca| inbound calls| cce| tse| call center| banking| tso| voice process| ecommerce| telecalling| non voice| backend| email| bpo| night shift| bba| btech| customer care| google| customer support| bcom| bsc| cse| chat| calling| internet| cso| telemarketing| ba,Associate/Senior Associate -(NonTechnical)
Project management|HR|Corporate finance|Due diligence|Auditing|Operations|Debt restructuring|Claims|Corporate|Finance,Debt Analyst
Browser compatibility| jQuery| Web services| Web technologies| SPA| Web application| angularjs| CSS3| Visual Design,Software Developer
 excellent communication . | h| le | Ad| istration & academic | part | school | with s| port | staff,Teacher/ Private Tutor
 CSS| Web technologies| WCS| Content management system| FatWire| Javascript| HTML| Oracle,Web Designer
 campaign management| AdWords| Digital Advertising| Google Analytics| Integrated Marketing| Media Buying| Marketing Campaigns| sem| Planning| Performance Reporting,Head/VP/GM-Marketing
 CodeIgniter| RDBMS| PHP| CakePHP| MongoDB| JSON| MVC| Webservices| Laravel| AJAX,Software Developer
 POP| Basic| Technology management| Focus| Management| Course Director| Monitoring| Teaching| Auditing,Teacher/ Private Tutor
 Roles & Responsibilities Identifying new sales leads Planning and overseeing new marketing initiatives Attending conferences| meetings| and industry events Fixing Meetings Preparing Presentation Meeting with Clients after getting proper approval fro,Sales Executive/Officer
 online marketing| ux| optimization| web analytics| php| sem| google| seo| social media| tools,Software Developer
 Merchandiser,Merchandiser
 Hotel Management| Chef| Menu Planning| hospitality| Front Office Manager| Food Costing,Front Office/Guest Relations Executive/Manager
 Wireless| Healthcare| Computer science| Agile| DNS| microsoft| VPN| WAN| digital transformation| Cloud,R&D Executive
 twitter| search engine optimization| facebook| social media marketing| google| linkedin| web designing| and marketing| social media| who,Marketing Manager
 Chef De Partie| MIS| Inventory| Management,Commis
 Java| C++| Software Development| Algorithms| Languages| Machine Learning| Python,Software Developer
Monitoring| SDLC| Agile| Stakeholder management| Waterfall model| Bfsi| Business Analyst| Analyst 2| Compliance| Manager Technology,Business Analyst
 Business Analyst| SEO| HTML| Web analytics| Search engine optimization| CSS| Research| Content strategy| Basic| Monitoring,Webmaster
 SAP BO| Power Bi| SAS| Business Analytics| Techno Functional| Database Design| Tableau| MATLAB| SAS BI| SQL,Business Analyst
 Architecture| Powershell| Troubleshooting| development| technical| design| developer| Sharepoint| Supervision| Scripting,Software Developer
 CEH| Security| Web Application Security| OWASP| VAPT,Team Lead/Technical Lead
 Java| CSS| Front End| Web Technologies| Javascript| CMS| HTML| Languages| Web Development| Server Side,Software Developer
Vendor Master| Invoice Processing| Accounting| Finance| Reconciliation| Vendor Management| MS Office| Query Resolution| Accounts Payable| P2P,Accounts Executive/Accountant
 C++| CSS| C| software| javascript| programming,Software Developer
 Manager Quality Control,Assistant Manager/Manager-(NonTechnical)
 Business process| Change management| Performance management| Conflict management| Consulting| Outsourcing| Information technology| Performance improvement| Employee relations,HR Executive
 HNI Sales| Corporate Relationship Management| Banking| Portfolio Management| Casa| Corporate Relations| Current Account| Field Sales,Client Servicing/Key Account Manager
 sql| python| soap| machine learning| api testing| life cycle| Deep Learning,Testing Engineer
C#|Software Development|.net developer|walkin|Software Engineering|.Net|c# programmer|c# developer,Software Developer
 Verification Engineer| C| Python| Six Sigma| PMP| .NET| HTML| SQL| Oracle| assembly language| Real Time Operating Systems| website| linux| xml| javascript| ajax| xhtml| jquery,Team Lead/Technical Lead
 CSS| Web Technologies| Wordpress| web developer| Javascript| HTML| JQuery| Web Development| Core PHP| Codeigniter| Ajax,Graphic/Web Designer
SQL|Excel|QC|QA|Database Development|Data Validation|Process Improvement,Software Developer
 e learning| analytical| procedures| content writing| project| training needs analysis| wbts| instructional design,Instructional Designer
 French| construction site| Cost control| Industrial construction| Vendor| MIS preparation,Accounts Executive/Accountant
 Oracle| Javascript| Linux| Windows| MS SQL| SDLC| Configuration management| Software design| Release management| WMI,Software Developer
 configuration management| test cases| cmm| tools| test management| policies| coaching| test| frame works| test automation,Testing Engineer
Corporate Relationship Management|Corporate Relations|Relationship Management|Corporate Sales|Corporate Brokers|B2B Sales|Relationship Manager,Sales Executive/Officer
 oracle| hibernate| sql server| development| btech| software| jsp| testing| system testing| mca| it| sql| quality| application| uml| audit| xml| msc,Software Developer
 C#| Customer Service| MS Dynamics CRM| Sales| SSRS| Javascript| MS SQL Server| Microsoft Azure| Microsoft Dynamics| Plugins,Software Developer
 PNL| Wastage Control| Inventory Management| People Management| General Management| Restaurant general manager| restaurant manager,Restaurant Manager
 Retail| Brand positioning| Brand activation| Networking| Pharma| Brand marketing| Management consulting| Market research| Clinical research| Brand awareness,Marketing Manager
 SAP| Sales| Corporate| STPI,Sales/Business Development Manager
 PLSQL| Unix shell scripting| SQL| XML| MySQL| Javascript| PHP| Struts| HTML| Oracle,DBA
 BPO| Outbound| Customer service| Sales| Inbound calls| Inbound voice process| US shift| Antivirus| Technical support| Comp,Associate/Senior Associate -(Technical)
 swaps| futures| options| derivatives| investment banking| investment accounting| otc| derivative operations| Bank Loan| Syndication,Derivatives Dealer
 recruitment| hr| induction| joining formalities| talent acquisition| interview coordination| orientation| selection| vendor management| Exit Formalities,HR Executive
 Web Technologies| Magento| SQL Queries| SVN| Zend| Agile Development| Web Services,Software Developer
 java| Spring Boot| hibernate,Software Developer
 Analyst| Automation| Production support| Enterprise applications| Fixed assets| Project management| Information technology| VMS| FICO| Product costing,Team Lead/Technical Lead
 Front end| Web technologies| jQuery| HTML| XSLT| JSON| Unit testing| microsoft| SQL| Ajax,Software Developer
 revenue cycle management| voice process| account receivable| ar analyst| us healthcare| bpo| kpo| ites| rcm| ar callers,Associate/Senior Associate -(NonTechnical)
 Team Management| Technical Management| Office Skills| Legal Operations| MS Office| Work Permit| Quality Control,Software Developer
 Technical Recruitment| IT Recruitment| HR| Hiring| PF| Interviewing| Staffing| Benefits| ESI| Incentives,Recruitment Executive
 MS Office| SEO| SEM| Internet applications| Senior Copy Editor| Business Executive| Supervision| Web technologies| Construction| Research,Associate/Senior Associate -(Technical)
 Sales Head| Dealer Management| Sales| Client Relationships| Distribution| Channel Sales,Head/VP/GM/National Manager -Sales
 Health insurance| Claims| Legal compliance| Compliance| Medical coding| HIPAA| Legal| Healthcare,Associate/Senior Associate -(NonTechnical)
 Product management| UI development| Sonicwall| Networking| Javascript| Packaging| Genetics| Technical support| Testing,Software Developer
J2Ee| Recruitment| BPO| Supply chain management| Business process| ITES| Performance improvement| Technology consulting| Technology solutions| Financial management,Software Developer
 Photoshop| Illustrator| Indesign| Dreamweaver| Interaction Design| UX| User Research| Information Architecture| Infographics| Wireframing,Graphic/Web Designer
 financial management| bank reconciliation| accounting| salary| taxation| company accounts| finance| banking,Accounts Manager
 Japanese| Sales| Electronic components| Management| SUB,Sales/Business Development Manager
 Customer service| Process management| Risk assessment| Information security management| Compliance| Monitoring| Auditing| Legal| Database,Associate/Senior Associate -(NonTechnical)
 Linux| Python| Agile| Configuration management| HTTP| JIRA| Japanese| SMTP| Version control| SCALA,System Administrator
 Architecture| Programming| WiFi| Networking,Team Lead/Technical Lead
CSS| GIT| Front End| Software Development Methodologies| Html5| Javascript| HTML| JSON| JQuery| Android,Software Developer
Javascript| Architect| Indesign| Mobile development| bootstrap| Application| html5| angularjs,Technical Architect
 sales management| marketing management| banking| finance| financial services| sales manager| sales executive| area sales manager| marketing manager| marketing executive| back office assistant,Area Sales Manager
 Computer science| Compliance| Coding| Analytical| Machine learning| Healthcare| microsoft,Software Developer
Business Intelligence Reporting|Excel|Big Data|Master Data Management|Information Management|Client Engagement|Data Analytics|Data Governance|Machine Learning|Predictive Analytics,Practice Head / Practice Manager
 Special Educator| Teaching| Testing,Special Education Teacher
 Usage| Email| Prospecting| MIN| Excel| Telephone| Media| Business Executive,Sales/Business Development Manager
 Sales| Retail Sales| Cross Selling| Up Selling,Post Sales Consultant
 Jenkins| Java| Maven| CVS| Tomcat| Ant| Cruise Control| Javascript| Gradle| Bamboo,Software Developer
 Outbound| Service| Technical support| process| Technical| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp,Associate/Senior Associate -(NonTechnical)
 Testng| Appium| Webdriver| Automation Testing| Manual Testing| JUnit| Test Case Design| Java| Test Execution| Android,Testing Engineer
 production| sampling| product development| design| coordination| Testing,Product Designer
 Technical Content Writer| Content Writer,Content Developer
 Computer science| Software design| Usage| Social media| Formulation| Windows| microsoft| Customer engagement| cisco,Sales Promotion Manager
 Internal Audit| Internal Control| Audit Management| Auditing,Head/VP/GM-Finance/Audit
 travel industry| hotel sales| hotel contracting| account management| customer experience,General Manager
 xml| json| networking| data management| c| data| iphone| messaging,Software Developer
 Hospitality| Mobile marketing| Administration| Content management| Competitive analysis| Social media| Media relations| Brand awareness| Desktop publishing| Merchandising,Marketing Manager
 Operational excellence| Coaching| Sales operations| International sales| Consulting| Account management| Team Leader| Sales process| Night shift| Process management,Assistant Manager/Manager-(NonTechnical)
 C| AutoCAD| Project Engineer| Adobe| MATLAB,Service/Maintenance Supervisor
 Business analysis| Project management| Consulting| Process design| Change management| Operational excellence| Process improvement| Analytical| Black Belt| Information technology,Associate/Senior Associate -(Technical)
 Product management| Business analysis| TIBCO| Workflow| Healthcare| Scrum| Informatica| EDI| Oracle| microsoft,Business Analyst
 CATIA| Design Engineering| NX| Styling,Senior Design Engineer
 Corporate Training,Technical/Process Trainer
 Sales| bdm| Business Development| After Sales Service| Sales Consulting| Marketing Promotions| Marketing,Sales Executive/Officer
 Adobe| Data mining| Executive| SQL queries| big data| Data Analyst| Analyst II| tableau| Hadoop,Software Developer
Content Writing| Content Marketing| Digital Marketing| Branding| Brochures| PPTP| SEO| Analytics| B2B| SAAS| Press Release| Newsletters| Website| Email Campaign| campaign| Digital Transformation| Blogs| Blog Writing| Banners| Infographics,Copywriter
 IT services| Engineer Trainee| Linux| Corporate governance| Information security| Management Trainee| Consulting| Local area network| Windows| Troubleshooting,Software Developer
 Networking| Verilog| Debugging| Silicon| PCIE| RTL coding| Printing| Relationship| Architecture,Associate/Senior Associate -(Technical)
 branch sales| freight forwarding| logistics| business development| air| branch management| sales| sales management| branch operations| operations| shipping| ocean| sales manager| supply chain management| key accounts manager,Branch Manager
 C++| SQL| Linux| Automation| SCM| Coding| Unix shell scripting| Stored procedures| Data migration| Monitoring,Team Lead/Technical Lead
 bpo| expedia| call centre| csr| international bpo| International Call Center| inbound| customer service| Banking| tourism| kpo| customer support| tsr| ticketing| consultant| travel counselor| Mortgage| outbound| Insurance| travel,Associate/Senior Associate -(NonTechnical)
Unix| VMware| SAP| Networking| Db2| Perl| Windows| Troubleshooting| RMAN| SQL,Team Lead/Technical Lead
 cms| joomla| sdlc| php mysql| testing| developing| coordination| ruby| oops| ruby on rails| applications,Software Developer
 Teaching| Educator| Counselor| Mentor| Trainer| Advisor| Assistant professor- Town Planning,Lecturer/Professor
 Node.js,Software Developer
 Human Resource,HR Manager
 CAD| Layout| Ideas| BomAnalog| Circuit designing| ORCAD| SOC| BIOS,Technical Lead/Project Lead
 Procurement| Purchase| Software Development| Key Skills| SAP MM| Inventory Management| Enterprise Structure| Warehouse Management| Functional Consultancy| SAP WM,Software Developer
 Oracle| Consulting| Analytics| Financial services| Data warehousing| Business Executive,Team Lead/Technical Lead
 Cordova| Ionic Framework| Angularjs| Node.Js| HTML| CSS| Phonegap| jQuery Mobile| jQuery| Bootstrap,Team Lead/Technical Lead
 XML| VB| SDLC| Coding| Consulting| Healthcare| Computer science| Scheduling| Defect tracking| User acceptance testing,Software Developer
 HR| Recruitment| Performance Management| Payroll| Policy Implementation,HR Executive
electronics| embedded c| communication protocols| i2c| gps| programming| embedded design,Senior Design Engineer
xml| mysql| javascript| technical| software| functions| tomcat| jsp| hibernate| coding| database| jboss| web| design| j2ee| ejb| programming| architecture| development| software development| specification| core java| application| jsf,Software Developer
spring| tomcat| struts| j2ee| multithreading| hibernate| core java,Software Developer
 Non IT Recruiter| Non IT Recruitment| Lateral Hiring| Non It| recruiter| Hiring| Recruitment,Recruitment Executive
 Project Management| Project Scheduling| Project Planning| Project Documentation| SCOPE| Risk Management| Execution| Finance| Budgeting| Monitoring| Medical| medical colleges| Healthcare,Project Lead
 Product training| Basic| data integrity| Data entry,Associate/Senior Associate -(NonTechnical)
 android sdk| Application Development| Mobile Application Development| Android,Software Developer
 Finance| Accounting| Financial Reporting| Budgeting| Capex| Forecasting| OPEX,Finance/Budgeting Manager
project management|scrum master|budgeting|scope|finance|wbs|planning|change management|performance management|Magento|drupal|hybris|CSM|Agile,Project Manager-IT/Software
 Advanced Excel| MIS Preparation| EMI| VLOOKUP| HLOOKUP| Pivot Table| Cheque Clearing| Excel,Trainee
 Auditor| Administration| Business Head| Sales| Power point presentation| HR| HRD| Legal Advisor| Recruitment,HR Manager
 Android| Process Associate| CV| android application development| android studio| Mail| MNC| c| development| design| application| developer| ui| com| pl| asp| roid| rest| it,Software Developer
 Hive| Elastic search| big data| Hbase| Apache Spark,Technical Architect
3D| Graphic designing| Illustrator| Corel Draw| Photoshop| 3DSmax,Graphic Designer
 email| inventory control| facebook| twitter| sustainability| asst manager| eco| it hardware| management| us,Warehouse Manager
 Information Security Management| SIEM| IT Security| Vulnerability| Firewall| CEH,System Analyst
 Direct sales| Relationship management| MS Office| Training| Agency sales| Analytical| Recruitment,Sales/Business Development Manager
 Attendance| Training Needs| Education| Selection| Mentoring,Trainer
 Outbound| English| Senior Process Associate| Voice process| Group| Outbound calling| Outbound sales| Sales process| Business Executive| Ideas,Associate/Senior Associate -(NonTechnical)
 Business Intelligence| Production| Manufacturing| Maintenance| Manager| Supply Chain,Construction-Construction Management
 Trade| Sales,Sales/Business Development Manager
 Architecture| Technology leadership| Scrum| Management,Product Manager
 revenue generation| customer service| verbal communication| client servicing| business development| business intelligence| corporate sales| sales| counselling| key account management| brand promotion| new client acquisition| communication skills,Regional Sales Manager
Java| JMS| Maven| XML| Mule Esb| JSON| J2Ee| Gradle| JQuery| SOAP,Technical Architect
 Territory Sales Manager| sales officer| area sales manager| area manager| asm| Sales Manager,Area / Territory Manager
 Outbound| Group| Sales| Spot| Inbound calls| Customer support| Antivirus| Medical| Technical support| Comp,Associate/Senior Associate -(NonTechnical)
 Linux| nagios| jenkins| mysql| networking| svn| cacti| postfix| apache tomcat| docker,System Administrator
Oracle|SAP|XML|Web services|SOA|Debugging|Maximo|Business process|Test scripts|Outsourcing,Software Developer
 marketing,Manager Marketing - Internal / External Communication
Unmet Needs|Literature Review|Therapy Area|IMS,Bio-Technical Research Associate/Scientist
 Computer science| Data analysis| XML| Project management| Functional testing| Agile| Selenium| Test cases| Information technology| SDLC,Team Lead/Technical Lead
 BPO| Email Support| Inbound Sales| Cce| Telesales| Calling| Voice Process| Process Handling| Customer Support| International Clients| CSE| Technical Support| Chat| Customer Care| Fresher| International Process| Call Center,Associate/Senior Associate -(Technical)
 sales executive activities| sales management| lead generation| outbound calling| business development| field sales,Sales/Business Development Manager
 Customer acquisition| Analytical skills| Health insurance| Career development| PPC| Google Analytics| Search engine marketing| SEM| Omniture| SEO,Associate/Senior Associate -(NonTechnical)
 Laravel| Javascript| HTML| CSS| JQuery| Core PHP| Java,Software Developer
 Change management| Industrial relations| Policies| Performance management| Senior Manager HR| Strategic planning| Customer service| Management| Organization design| Employee relations,HR Manager
 Test Engineering| Compatibility Testing| Defect Tracking Tool| Test Plan Preparation| Mobile Testing| Magento| Test Scenarios| Manual Testing| Selenium| Test Cases,Testing Engineer
 ppc| btech| adwords| web analytics| mca| sem| msc| social media,Software Developer
 IT services| Infrastructure management| Data structures| development| cloud security| it| IPS| cloud| Product engineering| java| application| spark| Application programming| infrastructure| SCALA| developer| api| Software services| programming,Software Developer
 bpo| voice| non voice process| customer service| customer support| domestic| executive| fresher| chat| typing| international| non - voice| email| undergraduate,Associate/Senior Associate -(NonTechnical)
 Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Nurse
 Pharma| Dermatology| MS Office| CV| Medical Representative| Sales| medical sales| Negotiation| Statistics| Technical Analyst,Medical Representative
 Civil| Project management| Monitoring| Manager Quality Assurance| Civil engineering| Labour| Production management| Engineering projects| Material procurement| Supervisor,Construction-Construction Management
 Backend| Operations,Trainee
 Process automation| Quality improvement| Managed services| Business analytics| Artificial Intelligence| business rules| Customer support| Subject Matter Expert| Customer experience,Outside Consultant
Product Development|Development Testing|Detail Design|Production Support Engineer|Design Development|Project Management|System Design|L2 Support Engineer|Process Excellence|Problem Management|Project Development|Supply Chain Management,Technical Support Engineer
